province,circonscription,parti,numeroCirconscription,population,electeurs,tauxParticipation
Alberta,Calgary--Nose Hill,Parti conservateur,48005,130942,101910,56.6
Alberta,Calgary-Centre,Parti conservateur,48006,124197,89536,55.3
Alberta,Calgary-Centre-Nord,Parti conservateur,48003,114615,84609,59.7
Alberta,Calgary-Est,Parti conservateur,48002,110479,75850,45.9
Alberta,Calgary-Nord-Est,Parti conservateur,48004,129015,87307,47.8
Alberta,Calgary-Ouest,Parti conservateur,48009,132162,103812,62.3
Alberta,Calgary-Sud-Est,Parti conservateur,48007,125738,106439,59.5
Alberta,Calgary-Sud-Ouest,Parti conservateur,48008,120750,95026,60.4
Alberta,Crowfoot,Parti conservateur,48010,114825,88881,59.2
Alberta,Edmonton--Leduc,Parti conservateur,48014,116986,101532,58.7
Alberta,Edmonton--Mill Woods--Beaumont,Parti conservateur,48011,112919,86529,53
Alberta,Edmonton--Sherwood Park,Parti conservateur,48016,118073,94602,58.4
Alberta,Edmonton--Spruce Grove,Parti conservateur,48017,128945,105599,55.8
Alberta,Edmonton--St. Albert,Parti conservateur,48015,126447,97504,55.9
Alberta,Edmonton--Strathcona,Nouveau parti démocratique,48018,99267,73444,66.5
Alberta,Edmonton-Centre,Parti conservateur,48012,120326,86408,57.2
Alberta,Edmonton-Est,Parti conservateur,48013,128199,92507,49.6
Alberta,Fort McMurray--Athabasca,Parti conservateur,48001,100805,76298,40.3
Alberta,Lethbridge,Parti conservateur,48019,113531,90036,53.7
Alberta,Macleod,Parti conservateur,48020,107638,85720,60.4
Alberta,Medicine Hat,Parti conservateur,48021,113085,82599,52.1
Alberta,Peace River,Parti conservateur,48022,138009,98135,49
Alberta,Red Deer,Parti conservateur,48023,124063,93723,53.5
Alberta,Vegreville--Wainwright,Parti conservateur,48024,111427,83790,58.7
Alberta,Westlock--St. Paul,Parti conservateur,48025,101010,76291,55.2
Alberta,Wetaskiwin,Parti conservateur,48026,107914,80262,57.9
Alberta,Wild Rose,Parti conservateur,48027,115872,95631,61.2
Alberta,Yellowhead,Parti conservateur,48028,103111,75410,55.1
Colombie-Britannique,Abbotsford,Parti conservateur,59001,124515,85143,59
Colombie-Britannique,Burnaby--Douglas,Nouveau parti démocratique,59002,112119,84911,57.6
Colombie-Britannique,Burnaby--New Westminster,Nouveau parti démocratique,59003,118713,84271,53.3
Colombie-Britannique,Cariboo--Prince George,Parti conservateur,59004,106382,76216,57.3
Colombie-Britannique,Chilliwack--Fraser Canyon,Parti conservateur,59005,112118,84930,58.1
Colombie-Britannique,Colombie-Britannique-Southern Interior,Nouveau parti démocratique,59026,95477,75751,65.6
Colombie-Britannique,Delta--Richmond-Est,Parti conservateur,59006,106103,80821,59.7
Colombie-Britannique,Esquimalt--Juan de Fuca,Nouveau parti démocratique,59008,120669,98477,65.2
Colombie-Britannique,Fleetwood--Port Kells,Parti conservateur,59009,123243,95797,52.9
Colombie-Britannique,Île de Vancouver-Nord,Parti conservateur,59031,113356,90374,65.5
Colombie-Britannique,Kamloops--Thompson--Cariboo,Parti conservateur,59010,114675,90855,62.7
Colombie-Britannique,Kelowna--Lake Country,Parti conservateur,59011,122214,100884,59.8
Colombie-Britannique,Kootenay--Columbia,Parti conservateur,59012,86811,67663,63.4
Colombie-Britannique,Langley,Parti conservateur,59013,117858,90225,61.3
Colombie-Britannique,Nanaimo--Alberni,Parti conservateur,59014,121434,98657,66.7
Colombie-Britannique,Nanaimo--Cowichan,Nouveau parti démocratique,59015,125149,99872,64.2
Colombie-Britannique,New Westminster--Coquitlam,Nouveau parti démocratique,59017,111231,84337,59.6
Colombie-Britannique,Newton--Delta-Nord,Nouveau parti démocratique,59016,118649,75535,61.4
Colombie-Britannique,North Vancouver,Parti conservateur,59019,122371,89416,66.9
Colombie-Britannique,Okanagan--Coquihalla,Parti conservateur,59020,107316,86195,61.9
Colombie-Britannique,Okanagan--Shuswap,Parti conservateur,59018,116236,91762,61.9
Colombie-Britannique,Pitt Meadows--Maple Ridge--Mission,Parti conservateur,59007,120662,89613,59.3
Colombie-Britannique,Port Moody--Westwood--Port Coquitlam,Parti conservateur,59021,116563,86190,56.5
Colombie-Britannique,Prince George--Peace River,Parti conservateur,59022,105865,72580,53.3
Colombie-Britannique,Richmond,Parti conservateur,59023,114137,85643,50.5
Colombie-Britannique,Saanich--Gulf Islands,Parti vert,59024,115724,93380,73.9
Colombie-Britannique,Skeena--Bulkley Valley,Nouveau parti démocratique,59025,91926,61043,57.7
Colombie-Britannique,Surrey-Nord,Nouveau parti démocratique,59028,111960,72145,51.6
Colombie-Britannique,Surrey-Sud--White Rock--Cloverdale,Parti conservateur,59027,111756,91485,64.3
Colombie-Britannique,Vancouver Kingsway,Nouveau parti démocratique,59032,119815,82619,57.1
Colombie-Britannique,Vancouver Quadra,Parti libéral,59033,119627,87224,62.4
