name,date
Élection fédérale du Canada,2015-10-19
"Élection provinciale de l'Alberta, Canada",2015-05-05
"Élection de l'État de New South Wales, Australie",2015-03-28
"Élection de l'État du Queensland, Australie",2015-01-31
"Élection de l'État de Victoria, Australie",2014-11-29
"Élection municipale de Toronto, Canada",2014-10-27
Élection générale de la Nouvelle-Zélande,2014-09-20
"Élection générale provinciale de l'Ontario, Canada",2014-06-12
"Élection générale provinciale du Québec, Canada",2014-04-07
Élection générale fédérale de l'Australie,2013-09-07
Élection générale provinciale de la Colombie-Britannique,2013-05-14
Élection présidentielle des États-Unis,2012-11-06
"Élection générale provinciale du Québec, Canada",2012-09-04
"Élection générale provinciale de l'Alberta, Canada",2012-04-23
"Élection générale provinciale de l'Ontario, Canada",2011-10-06
Élection générale fédérale du Canada,2011-05-02
